### 三原学案
   李孔修 | 布衣李抱真先生孔修
   谢佑 | 谢天锡先生佑
   文廷矩 | 文学何时振先生廷矩
### 粤闽王门学案
   西樵名献夫， | 西樵名献夫，
   杨骥 | 杨骥字仕德
   薛尚贤 | 薛尚贤
   梁焯 | 梁焯字日孚，
   郑一初 | 郑一初字朝朔，
   明衡 | 明衡字子莘
   薛侃 | 行人薛中离先生侃
   周坦 | 县令周谦斋先生坦
### 蕺山学案
   陶匠韩乐吾 | 陶匠韩乐吾
   田夫夏叟 | 田夫夏叟
   林春 | 文选林东城先生春
   赵贞吉 | 文肃赵大洲先生贞吉
   杨起元 | 侍郎杨复所先生起元
   耿定向 | 恭简耿天台先生定向
   耿定理 | 处士耿楚倥先生定理
   焦竑 | 文端焦澹园先生竑
   方学渐 | 明经方本菴先生学渐
   何祥 | 郎中何克斋先生祥
   祝世禄 | 给事祝无功先生世禄
   尚汝登 | 尚宝周海门先生汝登
   陶望龄 | 文简陶石篑先生望龄
   太塙 | 太学刘冲倩先生塙
   唐伯元 | 文选唐曙台先生伯元
   王道 | 文定王顺渠先生道
   薛敷教 | 学正薛玄台先生敷教
   职永澄 | 职方刘静之先生永澄
   史孟鳞 | 太常史玉池先生孟鳞
   陈龙正 | 中书陈几亭先生龙正
   华允诚 | 郎中华凤超先生允诚
   刘宗周 | 忠端刘念台先生宗周
   冯从吾 | 冯从吾字仲好
   諯时乔 | 諯洁杨止菴先生时乔
